サンラサーのココロとカラダが整うスパイスカレー/t¥1,650＋税/t2021/2/19/t有澤まりこ　著
データセンター調査報告書2021/t¥170,000＋税/t2021/1/27/tクラウド＆データセンター完全ガイド　監修/インプレス総合研究所　編
できるゼロからはじめるiPhone 12/12 mini/SE 第2世代 超入門/t¥1,280＋税/t2021/1/22/t法林 岳之　著/白根 雅彦　著/できるシリーズ編集部　著
基礎Python 改訂2版/t¥2,680＋税/t2021/1/22/t大津 真　著
改訂新版 徹底攻略 AWS認定 ソリューションアーキテクト アソシエイト教科書［SAA-C02］対応/t¥2,380＋税/t2021/1/8/t⿃⾕部 昭寛　著/宮⼝ 光平　著/菖蒲 淳司　著/株式会社 ソキウス・ジャパン　編
DOS/V POWER REPORT 2021年冬号/t¥2,100＋税/t2020/12/28/tDOS/V POWER REPORT編集部　編
最高のイラストを作り出す！ 魅力的な「キャラ顔」の描き方/t¥2,200＋税/t2020/12/25/tサイドランチ　著/エイチ　イラスト/月森フユカ　イラスト/玄米　イラスト/吉村拓哉　イラスト/逆月酒乱　イラスト/山上七生　イラスト/クマつき　イラスト/くろでこ　イラスト/桓田 楠末　イラスト/保志乃シホ　イラスト
水中ドローンビジネス調査報告書2021 建設から設備点検、調査、養殖、水難救助まで 水中ロボットが切り拓く新市場/t¥95,000＋税/t2020/12/23/t藤川理絵　著/インプレス総合研究所　著
クラウド＆データセンター完全ガイド 2021年冬号/t¥2,000＋税/t2020/12/22/t
いちからわかる！つみたてNISA＆iDeCo/t¥1,000＋税/t2020/12/22/t山中 伸枝　監修
ディープラーニング実装入門 PyTorchによる画像・自然言語処理/t¥3,600＋税/t2020/12/21/t吉崎亮介　著/祖父江誠人　著
徹底攻略 情報セキュリティマネジメント教科書 令和3年度/t¥1,780＋税/t2020/12/21/t株式会社わくわくスタディワールド　瀬戸美月　著/株式会社わくわくスタディワールド　齋藤健一　著
徹底攻略 情報セキュリティマネジメント過去問題集 令和3年度春期/t¥1,480＋税/t2020/12/21/t五十嵐 聡　著
JavaScriptモダンプログラミング完全ガイド 堅牢なコードを効率的に開発できる！/t¥3,000＋税/t2020/12/21/tCay S. Horstmann　著/吉川 邦夫　訳
デジタルカメラマガジン 2021年1月号/t¥1,000＋税/t2020/12/19/tデジタルカメラマガジン編集部　編
いちばんやさしい音声配信ビジネスの教本 人気講師が教える新しいメディアの基礎/t¥1,600＋税/t2020/12/18/t八木太亮　著/江口立哉　著
できるWindows 10 パーフェクトブック 困った！＆便利ワザ大全 2021年 改訂6版/t¥1,480＋税/t2020/12/18/t広野忠敏　著/できるシリーズ編集部　著
できるWindows 10 2021年 改訂6版/t¥1,000＋税/t2020/12/18/t法林岳之　著/一ヶ谷兼乃　著/清水理史　著/できるシリーズ編集部　著
写真からドラマを生み出すにはどう撮るのか？ 写真家の視線/t¥1,800＋税/t2020/12/18/t高橋 伸哉　著
2021年版 合格しようぜ！宅建士 音声付き過去15年問題集/t¥2,300＋税/t2020/12/18/t宅建ダイナマイト合格スクール　著
リテール・デジタルトランスフォーメーション D2C戦略が小売りを変革する/t¥2,000＋税/t2020/12/18/t三嶋憲一郎　著/FABRIC TOKYO　著
ITエンジニアのための中国語入門/t¥2,200＋税/t2020/12/17/t細谷 竜一　著/中野 志穂　著
できるGoogle for Education コンプリートガイド 導入・運用・実践編 増補改訂2版/t¥2,200＋税/t2020/12/17/t株式会社ストリートスマート　著/できるシリーズ編集部　著
世界一やさしいiPhone 12/mini/Pro/Pro Max/t¥480＋税/t2020/12/16/tTEKIKAKU　著
Slackデジタルシフト10の最新事例に学ぶ、激動の時代を乗り越えるワークスタイル変革（できるビジネス）/t¥1,500＋税/t2020/12/11/t長谷川 秀樹　著
描き込み式 ぬりえではじめる色えんぴつの素敵な塗り方レッスンノート/t¥1,480＋税/t2020/12/11/tcorekiyo　著/スギタメグ　著
かんたん合格ITパスポート過去問題集 令和3年度春期/t¥1,180＋税/t2020/12/11/t間久保 恭子　著
かんたん合格 ITパスポート教科書 令和3年度/t¥1,280＋税/t2020/12/11/t坂下 ⼣⾥　著/ラーニング編集部　著
海外ECハンドブック2020/t¥2,500＋税/t2020/12/4/tトランスコスモス株式会社　著
できる たのしくやりきるScratch3子どもAIプログラミング入門（できるたのしくやりきるシリーズ）/t¥1,200＋税/t2020/12/4/t小林真輔　著
PC自作・チューンナップ虎の巻二〇二一 【DOS/V POWER REPORT 特別編集】/t¥1,800＋税/t2020/12/3/t竹内亮介　著/加藤勝明　著/北川達也　著
できるfit ドコモのiPhone 12/mini/Pro/Pro Max 基本＋活用ワザ/t¥1,200＋税/t2020/11/27/t法林 岳之　著/橋本 保　著/清水 理史　著/白根 雅彦　著/できるシリーズ編集部　著
